,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1746342378,0,301,301
1,2,1746342384,6,302,302
2,3,1746343445,1067,305,306
3,4,1746375335,32957,306,310
4,5,1746375347,32969,306,311
5,6,1746376695,34317,307,315
6,7,1746378184,35806,308,319
7,8,1746378199,35821,309,323
8,9,1746378214,35836,309,326
9,10,1746378229,35851,311,330
10,11,1746378245,35867,311,330
