,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1746423896,0,82,82
1,2,1746423897,1,83,83
2,3,1746424007,111,84,85
3,4,1746426503,2607,84,86
4,5,1746426679,2783,84,86
